"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57573207";"04";"350607";"";"";"18812";"45";"TÉCNICO";"";"Sala 20";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"3T123";"1";"3";"REGULAR";"false";"2016/06/23 15:17:58.305000000";"false";"";"54";"CONSOLIDADA";"";"Presencial"
"57573208";"05";"1856853";"";"";"18812";"45";"TÉCNICO";"";"Sala 15";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5M123";"2";"3";"REGULAR";"false";"2016/06/20 08:33:52.615000000";"false";"";"45";"CONSOLIDADA";"";"Presencial"
"57573209";"06";"1856853";"";"";"18812";"45";"TÉCNICO";"";"Sala 15";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5M456";"3";"3";"REGULAR";"false";"2016/06/20 15:47:32.887000000";"false";"";"48";"CONSOLIDADA";"";"Presencial"
"57573210";"07";"2432978";"";"";"18812";"45";"TÉCNICO";"";"Sala 'Q'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T123";"4";"2";"REGULAR";"false";"2016/06/17 11:21:59.086000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57573211";"08";"2432978";"";"";"18812";"45";"TÉCNICO";"";"Sala 'Q'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5T456";"";"2";"REGULAR";"false";"2016/06/17 11:24:14.040000000";"false";"";"51";"CONSOLIDADA";"";"Presencial"
"57573212";"09";"1731258";"";"";"18812";"45";"TÉCNICO";"";"Sala 07";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T123";"1";"3";"REGULAR";"false";"2016/06/17 18:51:54.646000000";"false";"";"54";"CONSOLIDADA";"";"Presencial"
"57573213";"10";"1734630";"";"";"18812";"45";"TÉCNICO";"";"Sala 'N'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"3T123";"1";"3";"REGULAR";"false";"2016/06/16 11:20:57.559000000";"false";"";"0";"CONSOLIDADA";"";"Presencial"
"57573214";"11";"350611";"";"";"18812";"45";"TÉCNICO";"";"Sala 'M'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5T456";"2";"3";"REGULAR";"false";"2016/05/24 05:01:57.298000000";"false";"";"42";"CONSOLIDADA";"";"Presencial"
"57573215";"12";"1280456";"";"";"18812";"45";"TÉCNICO";"";"Sala 'S'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T123";"";"3";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57573216";"13";"1280456";"";"";"18812";"45";"TÉCNICO";"";"Sala 'S'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5T123";"4";"3";"REGULAR";"false";"2016/06/17 07:13:00.879000000";"false";"";"51";"CONSOLIDADA";"";"Presencial"
"57573217";"14";"1280456";"";"";"18812";"45";"TÉCNICO";"";"Sala 'S'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5T456";"0";"3";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57573218";"15";"1087389";"";"";"18812";"45";"TÉCNICO";"";"Sala 'P'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T123";"3";"3";"REGULAR";"false";"2016/06/17 14:11:13.679000000";"false";"";"54";"CONSOLIDADA";"";"Presencial"
