codigo_componente,nome_componente
DPR3221,PRÁTICA DA EXECUÇÃO PENAL
DPR3225,PRÁTICA DA EXECUÇÃO TRABALHISTA
DPR3222,PRÁTICA DAS AÇÕES COLETIVAS
DPR3203,PRÁTICA DE AÇÕES JUDICIAIS CONTRA FAZENDA PÚBLICA
DPR3308,PRÁTICA DE ARBITRAGEM
DPR3223,PRÁTICA DE DIREITO ECONÔMICO
DPR3216,PRÁTICA DO TRIBUNAL DO JÚRI
DPR3302,PRÁTICAS SIMULADAS
ECT1103,INFORMÁTICA FUNDAMENTAL
LET0084,LEITURA E PRODUCAO DE TEXTOS I
DSC0017,A ESTRUTURAÇÃO DO SISTEMA DE SAÚDE
PSI3041,INTRODUÇÃO À NEUROPSICOLOGIA
DPR0023,ELEMENTOS DE DIREITO COMERCIAL
DPU0136,ETICA E DIREITO
LEM5001,LÍNGUA ALEMÃ I
COM0084,COMUNICACAO E ARTES VISUAIS
DPR0024,LEGISLACAO SOCIAL E TRABALHISTA
FPE0087,LÍNGUA BRASILEIRA DE SINAIS - LIBRAS
HIS0043,HISTORIA MEDIEVAL II
ADM0054,"PODER, POLÍTICA E GESTÃO"
PSI0282,ORIENTAÇÃO PROFISSIONAL E OCUPACIONAL
ART0218,PEDAGOGIA DO CORPO
DPR0019,DIREITO E LEGISLACAO SOCIAL
DET0171,MODA
DPP0012,AGENDA CONTEMPORÂNEA I
DPP0031,METODOLOGIA E TÉCNICAS DE PESQUISA
DGE0083,GEOGRAFIA CULTURAL
DGE0224,MEIO-AMBIENTE E DESENVOLVIMENTO
DPR3401,ATENDIMENTOS - ANDAMENTOS PROCESSUAIS
DPU0041,DIREITO ECONÔMICO
PEC0501,TECNOLOGIAS EDUCACIONAIS E ELABORAÇÃO DE MATERIAIS DIDÁTICOS
DEF0500,METODOLOGIA DO JOGO
MUS0410,MUSICA POPULAR BRASILEIRA II
LET0205,LINGUÍSTICA I
ARQ0510,INTRODUÇÃO À ARQUITETURA E AO URBANISMO
DET0118,TEMPOS E MOVIMENTOS EM PROCESSOS TÊXTEIS
ADM0074,TEORIA GERAL DAS ORGANIZAÇÕES
ADM0528,ALIANCAS ESTRATEGICAS INTERNACIONALIZACAO
DPU0133,LEGISLAÇÃO DA INDÚSTRIA DO PETRÓLEO E GÁS NATURAL
LEM4036,LÍNGUA ESPANHOLA I
DTU2002,ADMINISTRAÇÃO HOTELEIRA I
COM0328,LEGISLAÇÃO E ÉTICA DE PUBLICIDADE E PROPAGANDA
DPP0042,CULTURA ORGANIZACIONAL
